iter	Logloss
154	0.4260937639
155	0.4260789943
156	0.4259132465
157	0.425791811
158	0.4257917938
159	0.4255508609
160	0.4252291
161	0.4251814241
162	0.424464065
163	0.4242518931
164	0.4242516554
165	0.4240671554
166	0.4236447594
167	0.4232958843
168	0.4230941731
169	0.4226457849
170	0.4221305553
171	0.4221108674
172	0.4217446191
173	0.4213409716
174	0.4213348184
175	0.4213347911
176	0.4210622089
177	0.4206252543
178	0.4203709177
179	0.4203709066
180	0.4199034057
181	0.4198962406
182	0.4196256863
183	0.4186489085
184	0.4182358297
185	0.4180884486
186	0.4176039801
187	0.4171562584
188	0.4164629288
189	0.4159841912
190	0.4154795389
191	0.4151902772
192	0.4147503305
193	0.4143822905
194	0.413871798
195	0.4135527954
196	0.4133297655
197	0.412905679
198	0.4123149708
199	0.4121976199
200	0.4119316419
201	0.4114885206
202	0.4113149925
203	0.4109380933
204	0.4108503178
205	0.4103050953
206	0.4098172787
207	0.4091249856
208	0.4090802391
209	0.4086165004
210	0.4081615529
211	0.4077853796
212	0.4073196992
213	0.4068263612
214	0.4067313382
215	0.4062601683
216	0.4060843848
217	0.4057542712
218	0.4054829847
219	0.4049529588
220	0.4043475523
221	0.4041426023
222	0.4035179955
223	0.4030657935
224	0.4026873466
225	0.4023602507
226	0.4018554566
227	0.4014550353
228	0.4007196789
229	0.4001821883
230	0.3997692441
231	0.3993635467
232	0.399174375
233	0.3988813096
234	0.3985765233
235	0.3981664785
236	0.3976845294
237	0.3975928182
238	0.3968324704
239	0.3966180593
240	0.3963319867
241	0.3961210791
242	0.3956608798
243	0.3954884001
244	0.3950132425
245	0.3949376941
246	0.3947867381
247	0.3944609945
248	0.3943660585
249	0.3939722829
250	0.3934429844
251	0.392988456
252	0.3927757724
253	0.3920673434
254	0.3917230724
255	0.3910226248
256	0.3908178927
257	0.3907279285
258	0.3902352431
259	0.3898260727
260	0.3893678848
261	0.3893647869
262	0.3893303901
263	0.3888830422
264	0.3879834658
265	0.3874447207
266	0.3873201807
267	0.3870576123
268	0.3867876773
269	0.3866287172
270	0.3864790128
271	0.3859148899
272	0.3854701934
273	0.3853587455
274	0.3851867666
275	0.385015494
276	0.3848283542
277	0.3846484774
278	0.3845013722
279	0.3841898225
280	0.3838341531
281	0.3835286162
282	0.3831383688
283	0.3828401043
284	0.3827104963
285	0.3822788516
286	0.3820735868
287	0.3817638864
288	0.3812376336
289	0.3810808864
290	0.3806377429
291	0.3804018337
292	0.3801217138
293	0.3796450576
294	0.3789939649
295	0.3787639113
296	0.378575319
297	0.3784059063
298	0.3782774947
299	0.3782323749
300	0.3780495811
301	0.3773170936
302	0.3770040637
303	0.3767117654
304	0.376160274
305	0.3758643809
306	0.3754359997
307	0.3749958746
308	0.374869807
309	0.3746022182
310	0.3744835101
311	0.3742993942
312	0.3737625302
313	0.3735758297
314	0.372805569
315	0.372298768
316	0.3720035478
317	0.3715284062
318	0.3708311653
319	0.3700382757
320	0.3700241881
321	0.3698168799
322	0.3694221579
323	0.3694108202
324	0.3690712516
325	0.3685769129
326	0.3682053521
327	0.3679618155
328	0.3679578423
329	0.3674403742
330	0.3669705836
331	0.3665373599
332	0.3663612445
333	0.3659532741
334	0.3657629988
335	0.3655486305
336	0.3653787541
337	0.3650846111
338	0.3648639408
339	0.3647427731
340	0.3643014083
341	0.3639512338
342	0.363514088
343	0.3632237656
344	0.3628811667
345	0.3625297758
346	0.3621027605
347	0.3618443848
348	0.3615962848
349	0.3613787625
350	0.3610128512
351	0.3607586497
352	0.3605743612
353	0.3599632986
354	0.3597326902
355	0.3594415462
356	0.3593302882
357	0.3591684843
358	0.3589297401
359	0.3585714481
360	0.3583299232
361	0.3581132987
362	0.3576652632
363	0.3573872927
364	0.3570892198
365	0.3569342799
366	0.3566938619
367	0.3564673888
368	0.3562059667
369	0.3560589615
370	0.3554720926
371	0.3550914287
372	0.3546329804
373	0.3544890072
374	0.3543954246
375	0.3541609326
376	0.3537511169
377	0.3533074381
378	0.3527209096
379	0.352381497
380	0.3520622413
381	0.3518257148
382	0.3515602719
383	0.3509825382
384	0.3508529068
385	0.3507796672
386	0.3505939773
387	0.3503530879
388	0.349770267
389	0.3495142509
390	0.3492392946
391	0.3487893034
392	0.3484228819
393	0.3481219981
394	0.3480648297
395	0.3478115851
396	0.3474996079
397	0.3471449896
398	0.3468888311
399	0.3464850292
400	0.3463682872
401	0.346227475
402	0.3460982682
403	0.3456159602
404	0.3455683559
405	0.3453996897
406	0.3447743463
407	0.3445925645
408	0.3441529299
409	0.3440003333
410	0.3434879959
411	0.3431660213
412	0.3429309512
413	0.3427574149
414	0.3424708637
415	0.3423776043
416	0.3420174685
417	0.3419698059
418	0.3416316256
419	0.3414203294
420	0.3413587652
421	0.3410707965
422	0.3409035799
423	0.3404087582
424	0.340359131
425	0.3401213355
426	0.3396270566
427	0.3391679672
428	0.3388062696
429	0.3386665189
430	0.3384182366
431	0.3381340443
432	0.3380099968
433	0.3378531877
434	0.3378325096
435	0.3374956705
436	0.3372083251
437	0.3370285239
438	0.3369708978
439	0.3366966624
440	0.3365621891
441	0.3364144299
442	0.3361411406
443	0.3361070257
444	0.335632886
445	0.3354602456
446	0.3352475185
447	0.3351622101
448	0.3350304457
449	0.3348882742
450	0.3346815575
451	0.3340489513
452	0.3339747848
453	0.3337986716
454	0.3336404323
455	0.3336171639
456	0.3334820769
457	0.3333348851
458	0.3329441248
459	0.3328271413
460	0.3326537275
461	0.3326069349
462	0.3324077733
463	0.3319573809
464	0.3318459094
465	0.331531834
466	0.3314300802
467	0.3312661089
468	0.3311123379
469	0.3304968056
470	0.3302012177
471	0.3300652738
472	0.3297048537
473	0.3295893737
474	0.3291576382
475	0.3290098201
476	0.3288570518
477	0.32875292
478	0.3286115336
479	0.3283727996
480	0.3283277528
481	0.3279172946
482	0.3275124533
483	0.3274460567
484	0.3272251453
485	0.3270667172
486	0.3267157213
487	0.3265853534
488	0.3264019205
489	0.3263429385
490	0.3260680661
491	0.325924981
492	0.3258236777
493	0.3256256909
494	0.325226314
495	0.3247585161
496	0.3244572413
497	0.3243951711
498	0.3241082362
499	0.3239575978
