iter	Logloss
0	0.6737319869
1	0.6538582678
2	0.6388843551
3	0.6222396637
4	0.6081285423
5	0.5958657146
6	0.5852005214
7	0.5771812422
8	0.5683483203
9	0.5627238229
10	0.554643961
11	0.5471418375
12	0.5414577961
13	0.5379273086
14	0.5307335767
15	0.5266704291
16	0.5228855572
17	0.5185695492
18	0.5146355921
19	0.5101564942
20	0.5086442453
21	0.5050919306
22	0.5040051819
23	0.5010051871
24	0.4975954603
25	0.4968532747
26	0.4944735634
27	0.4916915983
28	0.4894664521
29	0.4888692478
30	0.4859427234
31	0.4851235391
32	0.4836118299
33	0.4821742467
34	0.4808274039
35	0.4794495847
36	0.4779398788
37	0.4775525359
38	0.475510203
39	0.4744514245
40	0.4741927672
41	0.473122087
42	0.4726619473
43	0.4722715986
44	0.471963008
45	0.4712349745
46	0.4695147245
47	0.4681072159
48	0.4677564898
49	0.4672627195
50	0.4660869709
51	0.4650029244
52	0.4643326651
53	0.4630108193
54	0.4622510475
55	0.4621512036
56	0.4614331207
57	0.4602947551
58	0.4591986831
59	0.4587185392
60	0.4577560181
61	0.457711999
62	0.4572584867
63	0.4570314994
64	0.4562707945
65	0.4554754905
66	0.4552156732
67	0.4550373986
68	0.4546904906
69	0.4532813116
70	0.4519730994
71	0.4514463202
72	0.4514462528
73	0.4509382624
74	0.4508802434
75	0.45059229
76	0.450285515
77	0.4498601448
78	0.4497568363
79	0.4491479401
80	0.4490979402
81	0.4482958574
82	0.4476541998
83	0.446881823
84	0.44666606
85	0.4462053549
86	0.4462009061
87	0.4460106691
88	0.4451984857
89	0.4449386955
90	0.4443516037
91	0.443726912
92	0.4433524775
93	0.4425295267
94	0.4423684868
95	0.4421541975
96	0.4421100039
97	0.4420275577
98	0.4410054217
99	0.4406996543
100	0.4406421797
101	0.4405970161
102	0.4402455626
103	0.4401584829
104	0.4399770502
105	0.439520125
106	0.4394717361
107	0.4394655348
108	0.4393138489
109	0.4392630102
110	0.4389115763
111	0.4388827168
112	0.438672688
113	0.4385709496
114	0.4382578216
115	0.43825782
116	0.4382578137
117	0.4382146533
118	0.4379084562
119	0.4378480049
120	0.437332856
121	0.4369866352
122	0.4369866323
123	0.4363729843
124	0.4358727359
125	0.4351527691
126	0.4349132606
127	0.4344878272
128	0.4343042275
129	0.4341959681
130	0.4341204635
131	0.4340523351
132	0.4339286525
133	0.4332323147
134	0.4331754984
135	0.4330559644
136	0.4321867505
137	0.4320765978
138	0.431247627
139	0.4312274833
140	0.431173208
141	0.4308797531
142	0.4305457601
143	0.4305455143
144	0.4302177799
145	0.4301054059
146	0.4291170418
147	0.4286578128
148	0.4278426646
149	0.4274417332
150	0.4274417317
151	0.4269362349
152	0.4265843951
153	0.4265827941
